method,target,candidate,period,lead_months,correlation,common_sample_correlation,circular_shift_p,familywise_p_0_12,n,ar_lags
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,0,-0.3404906727517885,-0.3810375548244884,0.08695652173913043,0.2608695652173913,127,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,1,-0.2770527402639064,-0.31079770937005086,0.10869565217391304,0.29347826086956524,126,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,2,-0.23649940569027156,-0.26272601123641387,0.11956521739130435,0.31521739130434784,125,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,3,-0.1863480543513555,-0.2083957229414992,0.1956521739130435,0.5869565217391305,124,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,4,-0.12803452813477992,-0.15518328391228237,0.34782608695652173,0.782608695652174,123,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,5,-0.06349431195642377,-0.09060385218911203,0.5869565217391305,1.0,122,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,6,-0.022994239356820257,-0.03690707564576066,0.7717391304347826,1.0,121,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,7,0.09897976844534168,0.09487532637066168,0.5652173913043478,1.0,120,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,8,0.15550024455340875,0.15265196901217218,0.40217391304347827,0.8043478260869565,119,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,9,0.18808863577026763,0.18870383083557757,0.29347826086956524,0.6956521739130435,118,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,10,0.2199873519226234,0.2236080038369909,0.22826086956521738,0.44565217391304346,117,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,11,0.21893069244590535,0.21809612254388372,0.22826086956521738,0.5217391304347826,116,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,12,0.1827200734538157,0.1827200734538157,0.391304347826087,0.6956521739130435,115,0
