date,asia_factor_z,upstream_innovation,upstream_innovation_z
1989-03-01,,,
1989-04-01,,,
1989-05-01,,,
1989-06-01,,,
1989-07-01,,,
1989-08-01,,,
1989-09-01,,,
1989-10-01,,,
1989-11-01,,,
1989-12-01,,,
1990-01-01,,,
1990-02-01,,,
1990-03-01,,,
1990-04-01,,,
1990-05-01,,,
1990-06-01,,,
1990-07-01,,,
1990-08-01,,,
1990-09-01,,,
1990-10-01,,,
1990-11-01,,,
1990-12-01,,,
1991-01-01,,,
1991-02-01,,,
1991-03-01,,,
1991-04-01,,,
1991-05-01,,,
1991-06-01,,,
1991-07-01,,,
1991-08-01,,,
1991-09-01,,,
1991-10-01,,,
1991-11-01,,,
1991-12-01,,,
1992-01-01,,,
1992-02-01,,,
1992-03-01,,,
1992-04-01,,,
1992-05-01,,,
1992-06-01,,,
1992-07-01,,,
1992-08-01,,,
1992-09-01,,,
1992-10-01,,,
1992-11-01,,,
1992-12-01,,,
1993-01-01,,,
1993-02-01,,,
1993-03-01,,,
1993-04-01,,,
1993-05-01,,,
1993-06-01,,,
1993-07-01,,,
1993-08-01,,,
1993-09-01,,,
1993-10-01,,,
1993-11-01,,,
1993-12-01,,,
1994-01-01,,,
1994-02-01,,,
1994-03-01,,,
1994-04-01,,,
1994-05-01,,,
1994-06-01,,,
1994-07-01,,,
1994-08-01,,,
1994-09-01,,,
1994-10-01,,,
1994-11-01,,,
1994-12-01,,,
1995-01-01,,,
1995-02-01,,,
1995-03-01,,,
1995-04-01,,,
1995-05-01,,,
1995-06-01,,,
1995-07-01,,,
1995-08-01,,,
1995-09-01,,,
1995-10-01,,,
1995-11-01,,,
1995-12-01,,,
1996-01-01,,,
1996-02-01,,,
1996-03-01,,,
1996-04-01,,,
1996-05-01,,,
1996-06-01,,,
1996-07-01,,,
1996-08-01,,,
1996-09-01,,,
1996-10-01,,,
1996-11-01,,,
1996-12-01,,,
1997-01-01,,,
1997-02-01,,,
1997-03-01,,,
1997-04-01,,,
1997-05-01,,,
1997-06-01,,,
1997-07-01,,,
1997-08-01,,,
1997-09-01,,,
1997-10-01,,,
1997-11-01,,,
1997-12-01,,,
1998-01-01,,,
1998-02-01,,,
1998-03-01,,,
1998-04-01,,,
1998-05-01,,,
1998-06-01,,,
1998-07-01,,,
1998-08-01,,,
1998-09-01,,,
1998-10-01,,,
1998-11-01,,,
1998-12-01,,,
1999-01-01,,,
1999-02-01,,,
1999-03-01,,,
1999-04-01,,,
1999-05-01,,,
1999-06-01,,,
1999-07-01,,,
1999-08-01,,,
1999-09-01,,,
1999-10-01,,,
1999-11-01,,,
1999-12-01,,,
2000-01-01,,,
2000-02-01,,,
2000-03-01,,,
2000-04-01,,,
2000-05-01,,,
2000-06-01,,,
2000-07-01,,,
2000-08-01,,,
2000-09-01,,,
2000-10-01,,,
2000-11-01,,,
2000-12-01,,,
2001-01-01,,,
2001-02-01,,,
2001-03-01,,,
2001-04-01,,,
2001-05-01,,,
2001-06-01,,,
2001-07-01,,,
2001-08-01,,,
2001-09-01,,,
2001-10-01,,,
2001-11-01,,,
2001-12-01,,,
2002-01-01,,,
2002-02-01,,,
2002-03-01,,,
2002-04-01,,,
2002-05-01,,,
2002-06-01,,,
2002-07-01,,,
2002-08-01,,,
2002-09-01,,,
2002-10-01,,,
2002-11-01,,,
2002-12-01,,,
2003-01-01,,,
2003-02-01,,,
2003-03-01,,,
2003-04-01,,,
2003-05-01,,,
2003-06-01,,,
2003-07-01,,,
2003-08-01,,,
2003-09-01,,,
2003-10-01,,,
2003-11-01,,,
2003-12-01,,,
2004-01-01,,,
2004-02-01,,,
2004-03-01,,,
2004-04-01,,,
2004-05-01,,,
2004-06-01,,,
2004-07-01,,,
2004-08-01,,,
2004-09-01,,,
2004-10-01,,,
2004-11-01,,,
2004-12-01,,,
2005-01-01,,,
2005-02-01,,,
2005-03-01,,,
2005-04-01,,,
2005-05-01,,,
2005-06-01,,,
2005-07-01,,,
2005-08-01,,,
2005-09-01,,,
2005-10-01,,,
2005-11-01,,,
2005-12-01,,,
2006-01-01,,,
2006-02-01,,,
2006-03-01,,,
2006-04-01,,,
2006-05-01,,,
2006-06-01,,,
2006-07-01,,,
2006-08-01,,,
2006-09-01,,,
2006-10-01,,,
2006-11-01,,,
2006-12-01,,,
2007-01-01,,,
2007-02-01,,,
2007-03-01,,,
2007-04-01,,,
2007-05-01,,,
2007-06-01,,,
2007-07-01,,,
2007-08-01,,,
2007-09-01,,,
2007-10-01,,,
2007-11-01,,,
2007-12-01,,,
2008-01-01,,,
2008-02-01,,,
2008-03-01,,,
2008-04-01,,,
2008-05-01,,,
2008-06-01,,,
2008-07-01,,,
2008-08-01,,,
2008-09-01,,,
2008-10-01,,,
2008-11-01,,,
2008-12-01,,,
2009-01-01,,,
2009-02-01,,,
2009-03-01,,,
2009-04-01,,,
2009-05-01,,,
2009-06-01,,,
2009-07-01,,,
2009-08-01,,,
2009-09-01,,,
2009-10-01,,,
2009-11-01,,,
2009-12-01,,,
2010-01-01,,,
2010-02-01,,,
2010-03-01,,,
2010-04-01,,,
2010-05-01,,,
2010-06-01,,,
2010-07-01,,,
2010-08-01,,,
2010-09-01,,,
2010-10-01,,,
2010-11-01,,,
2010-12-01,,,
2011-01-01,,,
2011-02-01,,,
2011-03-01,,,
2011-04-01,,,
2011-05-01,,,
2011-06-01,,,
2011-07-01,,,
2011-08-01,,,
2011-09-01,,,
2011-10-01,,,
2011-11-01,,,
2011-12-01,,,
2012-01-01,,,
2012-02-01,,,
2012-03-01,,,
2012-04-01,,,
2012-05-01,,,
2012-06-01,,,
2012-07-01,,,
2012-08-01,,,
2012-09-01,,,
2012-10-01,,,
2012-11-01,,,
2012-12-01,,,
2013-01-01,,,
2013-02-01,,,
2013-03-01,,,
2013-04-01,,,
2013-05-01,,,
2013-06-01,-0.2439142879162121,,
2013-07-01,-0.0587314365610064,,
2013-08-01,-0.2340642818817243,-0.2509453011139723,-0.7944890075886096
2013-09-01,-0.1949116665869552,0.07949966564007777,0.2516947325876624
2013-10-01,-0.4165451369649536,-0.25522591979052967,-0.8080413812298229
2013-11-01,-0.3842746175226288,0.07535708062926433,0.2385793714333293
2013-12-01,-0.5492512110562633,-0.21048780290663688,-0.6664011834389739
2014-01-01,-0.7702937845596969,-0.20835527680140475,-0.6596496382158451
2014-02-01,-1.1827679339767645,-0.39647519317608937,-1.2552344330086165
2014-03-01,-1.5192091873835436,-0.28313261850421734,-0.896393565023224
2014-04-01,-1.4235049584362485,0.09618681275894314,0.3045259866302762
2014-05-01,-1.462289171563577,-0.18599714843709125,-0.5888641437800095
2014-06-01,-1.3538198036656135,0.006537141339929997,0.02069649008199054
2014-07-01,-1.6375496776189615,-0.4302261019663205,-1.3620892970404634
2014-08-01,-1.1827183950535003,0.42742086111874267,1.353207947172004
2014-09-01,-0.6655291816010391,0.25948751953991567,0.8215335412368032
2014-10-01,-0.2978630908326919,0.12689590935389727,0.4017505195040237
2014-11-01,-0.1336980133522271,0.004946680603533371,0.015661115574242688
2014-12-01,0.2539017989183903,0.3138287775867099,0.993577137929239
2015-01-01,0.7224648959418387,0.34411630760919176,1.089466997444652
2015-02-01,0.6672549331059747,-0.17309140660421762,-0.5480047613748464
2015-03-01,1.0346126436348275,0.4331057749961408,1.3712062980661273
2015-04-01,1.1221691024281746,0.029682198200297272,0.09397338817072423
2015-05-01,0.7091497098931927,-0.3639054348130333,-1.1521190732692725
2015-06-01,0.5845313012980119,0.07262235770143188,0.22992128022652628
2015-07-01,0.7087777082303329,0.20859936146735825,0.6604224065568347
2015-08-01,0.4237533688769354,-0.2804743381237068,-0.8879774897588982
2015-09-01,0.332666325014598,0.038572227479729604,0.12211908569244052
2015-10-01,0.1513788997151129,-0.12809395224801715,-0.4055435050900163
2015-11-01,0.0836970428750713,0.004084166582375079,0.012930409298176225
2015-12-01,0.2020618835457056,0.14425005802563384,0.45669349032096357
2016-01-01,0.3603062263111587,0.12640621919096945,0.40020016789415735
2016-02-01,0.5916416523866108,0.1972190487266346,0.6243925094625706
2016-03-01,0.3348008359056432,-0.2995920338310784,-0.9485038236751183
2016-04-01,0.2562826748902316,0.03427646974077997,0.10851878200988968
2016-05-01,0.5194280922181534,0.3060285389483198,0.9688817010062966
2016-06-01,0.8826705765526855,0.30359790890115645,0.9611863632358205
2016-07-01,2.0108148533302814,1.0602020773425491,3.3565836560083935
2016-08-01,2.069420346287643,-0.19791937955052585,-0.6266097462021595
2016-09-01,1.8194282442358671,-0.11852988794963015,-0.3752638229473007
2016-10-01,2.729165745418874,1.1328693234379053,3.5866470522075353
2016-11-01,2.4179728015611524,-0.4348215460923517,-1.3766384032676457
2016-12-01,2.137798153610527,0.010377523056777527,0.03285508020276707
2017-01-01,1.5807536757476468,-0.29890140644749397,-0.9463173078799957
2017-02-01,1.364332971406217,0.0986864520124473,0.3124398064987108
2017-03-01,1.4964104368440354,0.3085952257684499,0.97700779245118
2017-04-01,1.2850273153650142,-0.14980169034067847,-0.47426987381528307
2017-05-01,1.1872176281291429,0.07087643507103447,0.22439371572624123
2017-06-01,1.1017398014543034,0.035050080137206674,0.11096802076187627
2017-07-01,-0.0679146309695079,-1.0600428025420796,-3.356079394411953
2017-08-01,-0.0497764184467475,0.42767016767350813,1.353997247933571
2017-09-01,-0.4072557093094465,-0.3725095053391996,-1.1793594297262824
2017-10-01,-1.034051055975066,-0.5342889751512274,-1.6915507712202353
2017-11-01,-0.9843397436222876,0.19117374503976303,0.6052531699115463
2017-12-01,-1.0878930399677755,-0.2009081071905947,-0.6360720124656449
2018-01-01,-1.405643117464075,-0.36801184992888003,-1.165119921086121
2018-02-01,-1.3928984936750146,0.015152659191447038,0.04797308859699899
2018-03-01,-1.5143755889199688,-0.23661557609802464,-0.7491213160781507
2018-04-01,-1.3692477222857276,0.06889193662889181,0.21811082383362523
2018-05-01,-0.6550287101555149,0.5534049944395864,1.752071797619352
2018-06-01,-0.6617954087779468,-0.3173936311814045,-1.0048634102048106
2018-07-01,-0.4332324841253673,0.1759660150874377,0.5571057281229828
2018-08-01,-0.2119240678947559,0.10168759404864927,0.3219413765515871
2018-09-01,-0.0432811269196352,0.068437264135504,0.21667133763306287
2018-10-01,-0.127171820586331,-0.15239814649437078,-0.482490214517568
2018-11-01,0.0229213252485721,0.16577026410791074,0.5248261355528633
2018-12-01,0.4158654558146234,0.33611826639885,1.0641453205865894
2019-01-01,0.5026760119695126,-0.027247663959869106,-0.08626568978373671
2019-02-01,0.5058412054167787,0.005481243676234371,0.017353534134137726
2019-03-01,0.3376903518097243,-0.1355992615332235,-0.42930520016531476
2019-04-01,0.5439754660389865,0.2874952197044419,0.910205494087786
2019-05-01,0.2106109976576029,-0.37075408342103455,-1.1738017906253662
2019-06-01,0.2451770777633957,0.16536674561425505,0.5235486021376329
2019-07-01,0.3692053961582468,0.1255159074132066,0.3973814543433585
2019-08-01,0.4209363472426269,0.030560481354752977,0.09675401928303341
2019-09-01,0.4229230080033068,0.010672099462830487,0.033787704625161584
2019-10-01,0.091832455539069,-0.3044159704269637,-0.9637763335875261
2019-11-01,-0.2009760898331026,-0.1718473863716547,-0.5440662122344496
2019-12-01,-0.5893410380791043,-0.3033774900761585,-0.9604885205874462
2020-01-01,-0.38199103184656,0.2970981599757918,0.940608256969775
2020-02-01,-0.1621945695941014,0.11167557225978486,0.3535631636962596
2020-03-01,0.579518786900276,0.6458280139068138,2.044681671918257
2020-04-01,0.6087292688718117,-0.1974823217886571,-0.6252260279737464
2020-05-01,0.5016755897928583,-0.0760250575162782,-0.24069417610072072
2020-06-01,0.1969689932608935,-0.23294720321016066,-0.7375073032944631
2020-07-01,-0.1705410521389902,-0.24802247675254577,-0.7852353901032163
2020-08-01,-0.8651700674505401,-0.5805414676182181,-1.8379854590803981
2020-09-01,-0.5551045021171185,0.48868359301218256,1.5471648248187402
2020-10-01,-0.3138112391096347,0.08318663918437297,0.26336763476677977
2020-11-01,-0.378430934234947,-0.17973267935939602,-0.5690309299341476
2020-12-01,-0.4093976535693504,-0.04128931229244209,-0.13072133489496937
2021-01-01,-0.5173777843653761,-0.13272328388580673,-0.42019989866415053
2021-02-01,-0.8059517543060064,-0.29390394461926095,-0.9304954197205056
2021-03-01,-1.3360099900021931,-0.4925517277033684,-1.5594112804342752
2021-04-01,-1.370839253293174,0.04900238663579071,0.1551408109851834
2021-05-01,-1.60342634597582,-0.32898973794054354,-1.041576507880131
2021-06-01,-1.409761411371311,0.15050729526007633,0.47650380826105077
2021-07-01,-1.0554702664190023,0.1729938379720588,0.5476958605690074
2021-08-01,-0.606103698918088,0.23738593052407064,0.7515602464774205
2021-09-01,-0.6339822617547326,-0.2398128778847703,-0.7592439249185495
2021-10-01,-0.5546031429926638,0.036465960767178895,0.11545067730725493
2021-11-01,-0.0634547786582088,0.41580355553447845,1.316427734338675
2021-12-01,0.3392000313102077,0.21696484682511938,0.6869074059984706
2022-01-01,0.3357288446019486,-0.12683621942366247,-0.401561542092513
2022-02-01,0.589379638286288,0.2756580575276162,0.8727292186254275
2022-03-01,0.970579641668701,0.33027468295880613,1.0456446242697728
2022-04-01,1.2076575179864333,0.16937495038277262,0.5362385174881704
2022-05-01,1.9095140926675016,0.7038473334883857,2.228369955503189
2022-06-01,2.0285700660594888,0.00770083998114135,0.024380742285494916
2022-07-01,2.086666285451738,0.1647774447737742,0.5216828846372598
2022-08-01,1.9669826314866556,0.013271428180350764,0.04201713982084724
2022-09-01,2.6303952241614197,0.8510263526354302,2.6943364921983433
2022-10-01,2.6677139246606956,-0.005482248589752103,-0.017356715675054694
2022-11-01,1.8711968978093023,-0.6119666347120254,-1.9374770602653348
2022-12-01,1.1990142118598777,-0.24913498295755865,-0.7887575678321207
2023-01-01,1.2360415106767138,0.36442051391806696,1.1537498058837954
2023-02-01,1.3691533847776285,0.20899683909580213,0.6616808146846587
2023-03-01,0.7804087425792713,-0.5372023791748767,-1.7007745640594665
2023-04-01,0.1052414230484546,-0.40949797415634004,-1.2964643595747414
2023-05-01,-0.3945467574746988,-0.2544230083533192,-0.8054993758282508
2023-06-01,-0.7086168044796737,-0.16956642571038438,-0.5368447254639193
2023-07-01,-1.2183694692389293,-0.4557083831883758,-1.4427658119197349
2023-08-01,-1.1075862361705997,0.19627096802503252,0.6213909003772997
2023-09-01,-1.4213262087856322,-0.44235859181812187,-1.4005005754312023
2023-10-01,-1.2573747606230623,0.16372995986219951,0.518366563334702
2023-11-01,-1.1126155636118995,-0.014305481751476945,-0.045290937703774625
2023-12-01,-0.9674658935209997,0.003965236009216833,0.012553876911951048
2024-01-01,-0.9048379278745908,-0.06766888592416154,-0.21423866389949522
2024-02-01,-1.0386808992825802,-0.22978959641630725,-0.7275103681979805
2024-03-01,-0.9596937783842848,0.04332601349120535,0.1371694999212794
2024-04-01,-0.4021836818806349,0.4515294892253089,1.4295354971746614
2024-05-01,-0.450551547800345,-0.2835896210130136,-0.8978404280171406
2024-06-01,-0.3685039540650153,0.06041783179503474,0.19128193678227853
2024-07-01,-0.2476025371465755,0.05873840342744216,0.18596489210695785
2024-08-01,-0.3270848934944601,-0.14639290966616017,-0.46347772603182935
2024-09-01,-0.8352442348857047,-0.5092512464097849,-1.61228170273496
2024-10-01,-0.8923475463848751,0.05692062883315885,0.18020984538155208
2024-11-01,-0.3218802080329486,0.5184050681791299,1.6412625632686544
2024-12-01,-0.0098870488661777,0.07822594012780631,0.2476621369833907
2025-01-01,0.2833698516412736,0.1758814124375974,0.5568378774200103
2025-02-01,-0.0075144695254655,-0.37926111359114434,-1.200734918790644
2025-03-01,-0.3110225041711351,-0.20451254066076927,-0.647483594025156
2025-04-01,-0.7521294668946258,-0.3606433574835062,-1.1417913860453694
2025-05-01,-0.8323699901440546,0.016053124423695775,0.05082394783031226
2025-06-01,-0.9893031460370276,-0.19614172889040649,-0.6209817312422139
2025-07-01,-0.7844270178011407,0.181246544362471,0.5738238035148723
2025-08-01,-0.6714551910696797,-0.02483661903305212,-0.07863235820647642
2025-09-01,-0.4774955410247954,0.0976908384793822,0.3092877091917864
2025-10-01,,,
2025-11-01,-0.6148766371156655,-0.2479560920699816,-0.7850252172076275
2025-12-01,-0.9041413963588067,-0.29145898399135384,-0.9227547115492978
2026-01-01,-1.1564438797033116,-0.222008122442525,-0.7028743399178613
2026-02-01,-0.7804372625828843,0.3738779390895549,1.1836918701722454
2026-03-01,-0.1145593500008215,0.46700551397683343,1.4785323562179442
2026-04-01,0.192580149855094,0.05490922993999836,0.1738417870700473
2026-05-01,0.5720047605880693,0.27917188481300254,0.8838539423816076
2026-06-01,1.0237014322935047,0.35434905816857,1.1218637301219851
2026-07-01,,,
2026-08-01,,,
2026-09-01,,,
2026-10-01,,,
2026-11-01,,,
2026-12-01,,,
