year,component_id,component_label,world_value,five_country_value,five_country_share_of_world,is_complete_year
2015,D7EO,Photographic and optical equipment,963587806.0,255753637.0,0.2654180920591683,True
2015,L7GG,Mobile telephone equipment,11369400129.0,3694280725.0,0.3249318946544044,True
2015,L7GM,Sound equipment,1295712636.0,516931602.0,0.39895543783212745,True
2015,L7GP,Sound and vision equipment,4413614113.0,1368468087.0,0.310056124519194,True
2015,L7GQ,Portable sound and vision devices,1295712636.0,516931602.0,0.39895543783212745,True
2015,L7GR,Other sound and picture equipment,4294697512.0,1308844836.0,0.30475832869320835,True
2015,L7GT,Personal computers,8715781845.0,3557602524.0,0.40817939081860993,True
2015,L7GU,Information-processing accessories,10544747657.0,4222624659.0,0.4004481469214546,True
2015,L7GY,Other recording media,1514020538.0,275647514.0,0.182063259435124,True
2015,L7H9,Games and hobbies,982373946.0,715050506.0,0.727880161023733,True
2016,D7EO,Photographic and optical equipment,1016093821.0,280369847.0,0.2759290935595602,True
2016,L7GG,Mobile telephone equipment,12437798008.0,4525966434.0,0.36388807979426063,True
2016,L7GM,Sound equipment,1503305069.0,567382710.0,0.3774235327879414,True
2016,L7GP,Sound and vision equipment,4857303441.0,1535148707.0,0.316049578875795,True
2016,L7GQ,Portable sound and vision devices,1503305069.0,567382710.0,0.3774235327879414,True
2016,L7GR,Other sound and picture equipment,4710321456.0,1457147322.0,0.3093519912837134,True
2016,L7GT,Personal computers,8979348118.0,3858929012.0,0.42975603142775937,True
2016,L7GU,Information-processing accessories,10894871705.0,4667996671.0,0.42845815879205895,True
2016,L7GY,Other recording media,1782895174.0,372062147.0,0.20868425268394383,True
2016,L7H9,Games and hobbies,968340906.0,646537491.0,0.6676754921680443,True
2017,D7EO,Photographic and optical equipment,1149644333.0,340573939.0,0.29624287201179117,True
2017,L7GG,Mobile telephone equipment,14196267796.0,5714261783.0,0.4025185960925642,True
2017,L7GM,Sound equipment,1573134879.0,541485280.0,0.344207789953909,True
2017,L7GP,Sound and vision equipment,5144141796.0,1460700661.0,0.28395419856735227,True
2017,L7GQ,Portable sound and vision devices,1573134879.0,541485280.0,0.344207789953909,True
2017,L7GR,Other sound and picture equipment,4996822413.0,1386461124.0,0.2774685608984039,True
2017,L7GT,Personal computers,9538455635.0,3780168295.0,0.396308211690917,True
2017,L7GU,Information-processing accessories,11165057635.0,4414480929.0,0.39538362212852113,True
2017,L7GY,Other recording media,1768906930.0,441511539.0,0.24959568619022823,True
2017,L7H9,Games and hobbies,1282046324.0,770716051.0,0.6011608446373112,True
2018,D7EO,Photographic and optical equipment,1116849946.0,375326978.0,0.33605855410051655,True
2018,L7GG,Mobile telephone equipment,15092695653.0,6499833614.0,0.43066088149124093,True
2018,L7GM,Sound equipment,1510854726.0,504348521.0,0.33381668821016747,True
2018,L7GP,Sound and vision equipment,5283604005.0,1551024185.0,0.2935542072290484,True
2018,L7GQ,Portable sound and vision devices,1510854726.0,504348521.0,0.33381668821016747,True
2018,L7GR,Other sound and picture equipment,5157807216.0,1499653907.0,0.2907541604788821,True
2018,L7GT,Personal computers,10894758285.0,4306681022.0,0.3952984462197272,True
2018,L7GU,Information-processing accessories,12662450278.0,5067871028.0,0.4002283062706294,True
2018,L7GY,Other recording media,1675878262.0,283517807.0,0.1691756575812665,True
2018,L7H9,Games and hobbies,1228735630.0,725268925.0,0.5902562823867978,True
2019,D7EO,Photographic and optical equipment,1116138414.0,380808116.0,0.34118359445695057,True
2019,L7GG,Mobile telephone equipment,15448343468.0,7815895871.0,0.5059374739557027,True
2019,L7GM,Sound equipment,1563622248.0,495449408.0,0.31686003997047246,True
2019,L7GP,Sound and vision equipment,5124029110.0,1476414620.0,0.2881354864121761,True
2019,L7GQ,Portable sound and vision devices,1563622248.0,495449408.0,0.31686003997047246,True
2019,L7GR,Other sound and picture equipment,4968173461.0,1420102826.0,0.2858400249403047,True
2019,L7GT,Personal computers,11410522094.0,5180165528.0,0.45398146424201646,True
2019,L7GU,Information-processing accessories,13111470983.0,5711223837.0,0.4355898620684916,True
2019,L7GY,Other recording media,1395122467.0,232579357.0,0.16670891803507884,True
2019,L7H9,Games and hobbies,1140699234.0,711221889.0,0.6234964202667291,True
2020,D7EO,Photographic and optical equipment,1085526320.0,432073217.0,0.398031083207637,True
2020,L7GG,Mobile telephone equipment,14709066526.0,7909090824.0,0.5377017508228517,True
2020,L7GM,Sound equipment,1336362153.0,434794976.0,0.3253571459083367,True
2020,L7GP,Sound and vision equipment,4728750740.0,1316260184.0,0.2783526255393195,True
2020,L7GQ,Portable sound and vision devices,1336362153.0,434794976.0,0.3253571459083367,True
2020,L7GR,Other sound and picture equipment,4605550427.0,1266563617.0,0.27500808797462767,True
2020,L7GT,Personal computers,12439967841.0,6623062531.0,0.5324019013273911,True
2020,L7GU,Information-processing accessories,13937464468.0,7174601160.0,0.5147709023024001,True
2020,L7GY,Other recording media,1100558362.0,206893749.0,0.18798980239813942,True
2020,L7H9,Games and hobbies,1567584829.0,1039527982.0,0.6631398586978797,True
2021,D7EO,Photographic and optical equipment,1103598349.0,452925551.0,0.4104079635588509,True
2021,L7GG,Mobile telephone equipment,12950197305.0,7811589134.0,0.6032023258042554,True
2021,L7GM,Sound equipment,1256419290.0,434307715.0,0.34567100207447465,True
2021,L7GP,Sound and vision equipment,4017364236.0,1261184867.0,0.3139334132808763,True
2021,L7GQ,Portable sound and vision devices,1256419290.0,434307715.0,0.34567100207447465,True
2021,L7GR,Other sound and picture equipment,3842306741.0,1212489405.0,0.31556288623756185,True
2021,L7GT,Personal computers,12018421834.0,7977611606.0,0.6637819604094286,True
2021,L7GU,Information-processing accessories,13150963428.0,8505602574.0,0.6467664989388183,True
2021,L7GY,Other recording media,876183064.0,208976630.0,0.23850795408663594,True
2021,L7H9,Games and hobbies,1863016415.0,1267054336.0,0.6801090563659902,True
2022,D7EO,Photographic and optical equipment,1520423820.0,409765682.0,0.2695075390229022,True
2022,L7GG,Mobile telephone equipment,17768593403.0,9178335845.0,0.5165482509971979,True
2022,L7GM,Sound equipment,1509872638.0,447040988.0,0.29607860739310915,True
2022,L7GP,Sound and vision equipment,5382486249.0,1389473212.0,0.25814709926256607,True
2022,L7GQ,Portable sound and vision devices,1509872638.0,447040988.0,0.29607860739310915,True
2022,L7GR,Other sound and picture equipment,5196218724.0,1311138678.0,0.25232553663381935,True
2022,L7GT,Personal computers,14072598835.0,7286410968.0,0.5177729468048181,True
2022,L7GU,Information-processing accessories,15373225076.0,7802656547.0,0.5075484492308099,True
2022,L7GY,Other recording media,1076729932.0,266656657.0,0.24765416942082372,True
2022,L7H9,Games and hobbies,1988764788.0,1286089969.0,0.6466777653949493,True
2023,D7EO,Photographic and optical equipment,1556082737.0,374669100.0,0.2407771072136764,True
2023,L7GG,Mobile telephone equipment,17657080028.0,8655803772.0,0.49021716831287615,True
2023,L7GM,Sound equipment,1453974004.0,408536996.0,0.2809795738273736,True
2023,L7GP,Sound and vision equipment,4682278845.0,1196537970.0,0.25554607267308105,True
2023,L7GQ,Portable sound and vision devices,1453974004.0,408536996.0,0.2809795738273736,True
2023,L7GR,Other sound and picture equipment,4512302908.0,1130462878.0,0.2505290316383166,True
2023,L7GT,Personal computers,12273784418.0,5521840046.0,0.44988895502368437,True
2023,L7GU,Information-processing accessories,13371123078.0,5915471730.0,0.44240649760624395,True
2023,L7GY,Other recording media,952609179.0,199178795.0,0.20908762941911566,True
2023,L7H9,Games and hobbies,2336175675.0,1670902050.0,0.7152296241591506,True
2024,D7EO,Photographic and optical equipment,1508300509.0,409279942.0,0.2713517230537512,True
2024,L7GG,Mobile telephone equipment,15742840660.0,7324365022.0,0.4652505338893521,True
2024,L7GM,Sound equipment,1790013851.0,657646957.0,0.367397691717638,True
2024,L7GP,Sound and vision equipment,5018463822.0,1495426565.0,0.29798492487767503,True
2024,L7GQ,Portable sound and vision devices,1790013851.0,657646957.0,0.367397691717638,True
2024,L7GR,Other sound and picture equipment,4839708133.0,1422044360.0,0.2938285369532221,True
2024,L7GT,Personal computers,12612772726.0,5433051364.0,0.4307578898016845,True
2024,L7GU,Information-processing accessories,13736418484.0,5812088341.0,0.42311526456258186,True
2024,L7GY,Other recording media,949251777.0,206600638.0,0.21764577428860585,True
2024,L7H9,Games and hobbies,1587296110.0,961907235.0,0.6060036491867923,True
2025,D7EO,Photographic and optical equipment,1638647249.0,460077956.0,0.28076692911227047,True
2025,L7GG,Mobile telephone equipment,16320814063.0,6839036917.0,0.419037732468529,True
2025,L7GM,Sound equipment,1836172180.0,719027963.0,0.3915907074684031,True
