date,monthly_relative,mobile_item_index,items_available,item_weight
2005-01-01,1.0,100.0,0,
2005-02-01,1.03357,103.35700000000001,1,0.92
2005-03-01,0.9561229524850761,98.82200000000002,1,0.92
2005-04-01,0.9606261763574911,94.93100000000001,1,0.92
2005-05-01,0.9385132359292538,89.09400000000001,1,0.92
2005-06-01,0.949311962646194,84.57800000000002,1,0.92
2005-07-01,1.0061481709191515,85.09800000000001,1,0.92
2005-08-01,1.0870055700486498,92.50200000000002,1,0.92
2005-09-01,0.9277421028734514,85.81800000000003,1,0.92
2005-10-01,0.9757510079470507,83.73700000000002,1,0.92
2005-11-01,0.9637794523328994,80.70400000000002,1,0.92
2005-12-01,0.9601506740681999,77.48800000000003,1,0.92
2006-01-01,1.0767215568862276,83.43300000000004,1,0.92
2006-02-01,1.0580100000000001,88.27294833000005,1,0.96
2006-03-01,0.9716826873091937,85.77329565000005,1,0.96
2006-04-01,0.9205875200622538,78.96182553000004,1,0.96
2006-05-01,0.9796177132532412,77.35240296000003,1,0.96
2006-06-01,1.0009599620329623,77.42665833000004,1,0.96
2006-07-01,0.9669400114222907,74.86693389000004,1,0.96
2006-08-01,0.9531833327761248,71.36191356000005,1,0.96
2006-09-01,1.0516765654959543,75.04965216000002,1,0.96
2006-10-01,0.9338313767342584,70.08372000000003,1,0.96
2006-11-01,0.9960476190476191,69.80672244000003,1,0.96
2006-12-01,0.9522756609456422,66.47524275000002,1,0.96
2007-01-01,0.8885221211170381,59.06472369000003,1,0.96
2007-02-01,1.00126,59.139145241849434,1,0.92
2007-03-01,0.9565547410263069,56.56982976133443,1,0.92
2007-04-01,0.9604493818910791,54.33245802795722,1,0.92
2007-05-01,0.9368830717050051,50.903160170515825,1,0.92
2007-06-01,1.025399735443596,52.196086972089915,1,0.92
2007-07-01,0.901359043125007,47.04741500803261,1,0.92
2007-08-01,1.0400105456097621,48.92980775203291,1,0.92
2007-09-01,0.934839028983233,45.74149396724671,1,0.92
2007-10-01,0.9342355022403573,42.73332758971501,1,0.92
2007-11-01,0.9590877677954389,40.98501176849101,1,0.92
2007-12-01,0.9617091799971178,39.415662060047715,1,0.92
2008-01-01,0.9550747006728305,37.64490164382151,1,0.92
2008-02-01,0.97309,36.63187734058628,1,0.88
2008-03-01,0.9797243831505822,35.889143431153684,1,0.88
2008-04-01,0.9478266342200218,34.01668602339,1,0.88
2008-05-01,0.9841968969256989,33.47911682791623,1,0.88
2008-06-01,0.9540558166730384,31.94094614674968,1,0.88
2008-07-01,0.9614487082783332,30.709581413980285,1,0.88
2008-08-01,0.9826053912254679,30.175400259654456,1,0.88
2008-09-01,0.9859652186930812,29.751895116161464,1,0.88
2008-10-01,0.9671529614211785,28.774633469487856,1,0.88
2008-11-01,1.0061226892735193,28.95081160918094,1,0.88
2008-12-01,0.9561927052857422,27.682554872800594,1,0.88
2009-01-01,0.9852317232375979,27.273731240948692,1,0.88
2009-02-01,0.98827,26.953810373492363,1,0.88
2009-03-01,0.992421099497101,26.749530126497657,1,0.88
2009-04-01,1.0164766818246702,27.190273623351388,1,0.88
